Channel ID,Channel Name,Description,View,Num Subscriber,Topic,Num Video
UCW9o3ENwPXKd9gc3ffqRs9w,Wanji Music,"Đây là kênh bắt trend nhạc tiktok douyin siêu nhanh. Lạc vào kênh của tôi, bạn sẽ bị mê hoặc bởi những bản nhạc cực hay, siêu bắt tai, chất lượng cao và không thể chê vào đâu được. Không tin thì thử đi 😉

This is a channel that quickly captures popular Douyin music. If you get lost in my channel, you will be mesmerized by the super cool, super catchy, high quality and irrepressible music. If you don't believe it, try it 😉

這是一個快速捕捉熱門抖音音樂的頻道. 如果你迷失在我的頻道裡，你會被那些超酷、超酷、高品質的音樂所迷住，無路可走。如果你不相信，可以嘗試一下😉

👉SUBCRIBE NOW👈

🎵Đặt Mua và Hỗ Trợ Tìm Nhạc Liên Hệ:

✅ Gmail: Wanjimusic@gmail.com

✅ Zalo: 0963919439

✅Donate: Vietcombank : 0271001106482
",57301311,125000,"['Electronic_music', 'Music', 'Pop_music']",575
UCZFkyg599M0UdYy4fIY_r1w,ART Classical Music ,"Welcome to ART Classical Music 

We love classical music as well as relaxing instrumental music so some years ago we decided to create this channel where you can find the best videos of well-known pieces of classical piano, violin and orchestral music combined with nature sounds and visuals in a unique way. We made original and educative videos from musical compositions performed by our musician partners which we transform to make them more suitable and attractive to the average viewer. This results in videos that are perfectly suitable to focus on studying, reading, working and improving your concentration and memorization while listening to the greatest composers of all times such as Mozart, Beethoven, Bach, Chopin and many more. 

We hope you enjoy them!

► All photos and videos are copyrighted by me
✔ All videos are researched, edited and mixed for the best listening experience - bringing listeners back to the world of classical music.
",14403735,124000,"['Music', 'Classical_music', 'Lifestyle_(sociology)']",424
UCLcinD6lQkNGZeyL19rBc-A,Tee Music,"➥ Kênh tổng hợp - quảng bá sản phẩm âm nhạc của các DJ rộng rãi đến mọi người nghe ➥
- Nhớ like page cho mình nha :
- Nếu các bạn đọc đến đây thì mình cảm ơn các bạn .
- Link nhạc mình để ở mô tả các bạn ấn vào link để nghe những bản nhạc chất lượng từ những DJ nhé.
- Nhạc hay ảnh đẹp nhớ Like ,Share , Đăng kí kênh nghe nhiều bản nhạc mới nhất nhé...
- Các bạn đăng kí kênh giúp mình lên 1.000.000sub nhé  .
- Nếu có vấn đề bản quyền , hợp tác, đăng nhạc lên kênh.... liên hệ với mình qua mail

Cảm ơn các bạn !
",39742738,237000,"['Electronic_music', 'Music']",454
UC62e0b3JqldGsV6jaV2EYRA,BOLERO MUSIC,"★ Bolero Music là kênh tổng hợp những nhạc phẩm hay, nhạc phẩm để đời của những nhạc sĩ tên tuổi.
★ Đến với kênh Bolero Music quý vị sẽ được thưởng thức những nhạc phẩm chất lượng nhất về nhạc Trữ tình, nhạc Vàng Bolero, Nhạc Lính qua các giọng ca để đời và các ca sĩ trẻ hay nhất hiện nay.
★ Nếu thấy hay thì mong cả nhà đừng quên để lại 1 Like và đăng ký kênh Bolero Music để được thưởng thức nhiều tác phẩm hay nữa nhé.
★ Chúc quý vị nghe nhạc vui và luôn an lành hạnh phúc!!!
★ Bản Quyền Thuộc Bolero Music Trực Thuộc BH MEDIA
★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★
★★★★ CẤM SAO CHÉP VỚI MỌI HÌNH THỨC ★★★★★
★ Liên Hệ Bản Quyền : Copyright@citimusic.vn
Liên Hệ Quảng Cáo : contact@sky.pro.vn

",93818321,170000,"['Pop_music', 'Music', 'Music_of_Asia']",1184
UCy5_6elJNvJNc9Yxo3_ybzQ,Zee Music,"Zee Music
https://www.youtube.com/@zeemusiccreatory
🔥 Chúc mọi người có thật nhiều năng lượng tích cực khi giải trí, nghe nhạc trên kênh.
🔥 Theo dõi và đồng hành cùng chúng tôi tại: https://www.fb.com/H2OMusicc
🔥 Mọi chi tiết liên hệ hợp tác tại: contact@1991s.vn

© Bản quyền thuộc về Zee Music/H2O Remix.
© Copyright by Zee Music/H2O Remix.☞ Do not Reup.
",653387,19000,"['Pop_music', 'Music', 'Electronic_music']",235
UC2fu6CiFfNYz5UFORvFyc0w,Vie Channel - MUSIC,"Vie Channel - MUSIC là kênh âm nhạc & giải trí chính thức của Vie Channel - nhà sản xuất, sở hữu và phát sóng những chương trình âm nhạc giải trí hot nhất Việt Nam như:
- The Masked Singer Vietnam 2022
- The Masked Singer Vietnam All-Star Concert 2022
- Rap Viet 2021
- Rap Viet 2020
- Rap Viet All-Star Concert 2021
- Chương trình âm nhạc và giải trí đêm Giao Thừa Sóng 18, Sóng 19, Sóng 20, Sóng 21, Sóng 22, Sóng 23

Tải app VieON tại: https://click.vieon.vn/wSBG/ytapp

Liên Hệ Tài Trợ & Quảng Cáo
► Hotline: 0907.950.371 (Mr. Đức Khoa)
► Email: khoa.nguyen@viechannel.vn hoặc sales@viechannel.vn

► Website: https://vieon.vn/
► Fanpage: https://www.facebook.com/vieonofficial/
► Tiktok: https://www.tiktok.com/@vieon.official
► Instagram: https://www.instagram.com/vieon.official/
",508665530,345000,"['Entertainment', 'Music', 'Music_of_Asia']",1177
UCOHC3mlHop6TRXl7i8o2AYQ,AlexD Music Insight,"Kênh học tiếng Anh qua các bài hát. Chia sẻ các phương pháp học hiệu quả, đơn giản và dễ hiểu bằng âm nhạc.
Bây giờ thì có thêm mục cực kỳ mới đó là học tiếng Anh cho trẻ cùng Annie song ngữ",114052852,942000,"['Lifestyle_(sociology)', 'Music']",1045
UCsSkCBIqzIpWGbGOKgrZ90w,Pii Music,"Orinn Music là đội ngũ sản xuất những dự án âm nhạc hàng đầu Việt Nam.

Nắm bắt được xu hướng nghe nhạc hiện nay, Orinn có thể hỗ trợ nghệ sĩ remake lại những giai điệu gốc để cho ra mắt một phiên bản mới viral hơn, trending hơn trên Facebook, Tiktok và Youtube.

Với hệ thống về âm nhạc hàng đầu tại Việt Nam, Orinn hi vọng đem đến sự tươi mới trong âm nhạc cho nghệ sĩ và khán giả nghe nhạc.

Mọi thông tin liên hệ tại: contact@orinn.net
",171068927,499000,"['Electronic_music', 'Pop_music', 'Music', 'Hip_hop_music']",817
UCiq69t2ThqzU0NQ8yXCfAZA,Yen Music,"CHÀO MỪNG CÁC BẠN ĐÊN VỜI KÊNH YEN MUSIC

Kênh Yen Music Là Nơi giúp các bạn xem video, nghe nhạc miễn phí . Giúp Các Bạn Xem và nghe những Bài hát mới nhất hay nhât .

Kênh Chuyên Các Thể Laoi Nhạc EDM, Tik Tok , Tik Tok Trung Quoc, Nonstop, chill ke, Nhạc Thái Lan, EDM Thai Lan, Tik Tok Thai Lan, Nonstop Thailand, nhạc thai lan remux, ... Và nhiều thể loại nhạc Khác . Kênh Sẽ Đáp Ứng Các Thể Loại Nhạc Mà Các Bạn Yêu Thích.
Rất Mong Các Bạn Ủng Hộ Kênh.

Kênh Phi Lợi Nhuận, Nghe Nhạc Miễn Phí 

Giúp Mình Đạt Đến Được Những Cột Mốc Sau Nha! 

• 10 Subscribe ✔
• 20 Subscribe ✔
• 50 Subscribe ✔
• 100 Subscribe ✔
• 200 Subscribe ✔
• 500 Subscribe ✔
• 1000 Subscribe ✔
• 2000 Subscribe ✔️
• 5000 Subscribe ✔️
• 10000 Subscribe ✔️
• 20000 Subscribe ✔️
• 50000 Subscribe ✔️
• 100000 Subscribe ✔

    CHÚC CÁC BẠN NGHE NHẠC VUI VẺ

Mọi Thắc Mắc Xin LH Qua Gmail : cwalkhvtuong95@gmail.com",31941967,277000,"['Electronic_music', 'Music', 'Pop_music']",631
UCtAQ8kQhFHRplepFkRplLqQ,Soft Dream Music,"Hi 📝
Thank you for taking the time to listen to the music of Soft Dream Music

Music is a miracle of life. It helps us heal all wounds of the soul, relax after a tiring day of work, remove negative energy,... 
Listening to music before bed will help us fall asleep faster, have a better night's sleep.
Deeper sleep and when we wake up, we will have a new day full of energy and spirit 🎧
We hope all the best to everybody 😇
_________________________ 

Don't forget like, subscribe and comment if you feel good

Thank you so much for listening and leaving feedback. Have a great time listening to music!

#SleepingMusic #RelaxingMusic #SoftMelodies
",12620288,64900,"['Electronic_music', 'Music']",174
