Channel ID,Channel Name,Video ID,Title,Topic,Duration,Published At,View,Like,Num Comments,Date
UC2fu6CiFfNYz5UFORvFyc0w,Vie Channel - MUSIC,z_073JRyctA,Dính đét đoạn này #RapViệt #shorts,"['Music', 'Music_of_Asia']",33.0,2023-09-12T13:00:49Z,1016460,27471,360,02/20/2024
UC2fu6CiFfNYz5UFORvFyc0w,Vie Channel - MUSIC,LgeZsyNUtOE,Long Nón Lá thả flow mượt #RapViệt #shorts,"['Hip_hop_music', 'Music', 'Music_of_Asia']",42.0,2023-07-29T05:00:19Z,840395,21791,344,02/20/2024
UC2fu6CiFfNYz5UFORvFyc0w,Vie Channel - MUSIC,P8qn_CNFpGE,Noo Phước Thịnh trở lại vẫn cực kì lợi hại #shorts,Music,55.0,2022-10-22T14:30:09Z,104740,2734,31,02/20/2024
UC2fu6CiFfNYz5UFORvFyc0w,Vie Channel - MUSIC,XDuzD8u0zh8,Tune đóng dính hơn keo #RapViệt #shorts,"['Music', 'Music_of_Asia']",34.0,2023-06-16T13:30:13Z,1745793,30001,434,02/20/2024
UC2fu6CiFfNYz5UFORvFyc0w,Vie Channel - MUSIC,ZKNf1tAeVN4,Lắng đọng quá nhiều sau mỗi câu hát ở bài hát này #CaSiMatNa #Mùa2 #shorts,"['Music', 'Music_of_Asia', 'Pop_music']",26.0,2023-11-02T06:11:42Z,128971,2143,46,02/20/2024
UC2fu6CiFfNYz5UFORvFyc0w,Vie Channel - MUSIC,tMnb2TAeoJQ,Nổi da gà với Myra Trần #shorts,"['Music', 'Music_of_Asia']",34.0,2023-02-03T13:00:41Z,774652,14704,100,02/20/2024
UC2fu6CiFfNYz5UFORvFyc0w,Vie Channel - MUSIC,mAwojbUocFE,Anh chưa thương em đến vậy đâu ver cực tình#shorts,"['Music', 'Music_of_Asia']",35.0,2023-01-31T04:15:17Z,440475,10121,228,02/20/2024
UC2fu6CiFfNYz5UFORvFyc0w,Vie Channel - MUSIC,xG1Nxiq1MIM,Giọng Myra Trần thổi bùng làn gió mới #shorts,Music,32.0,2023-02-26T12:30:33Z,588704,10719,114,02/20/2024
UC2fu6CiFfNYz5UFORvFyc0w,Vie Channel - MUSIC,1b7VUk7248I,Nổi da gà với flow rap của Thái VG#RapViệt #shorts,"['Hip_hop_music', 'Music']",19.0,2023-06-03T06:30:00Z,2001833,35185,492,02/20/2024
UC2fu6CiFfNYz5UFORvFyc0w,Vie Channel - MUSIC,Y1uJ-vNCTXo,"Xin hứa tu tâm dưỡng ""tánh"" #shorts","['Music', 'Music_of_Asia']",21.0,2023-02-02T05:00:19Z,816449,17415,73,02/20/2024
UC2fu6CiFfNYz5UFORvFyc0w,Vie Channel - MUSIC,pTWif2DNS50,Andree đốt cháy con beat themesong#RapViệt #shorts,"['Hip_hop_music', 'Music']",15.0,2023-05-30T12:30:26Z,3069860,46970,432,02/20/2024
UC2fu6CiFfNYz5UFORvFyc0w,Vie Channel - MUSIC,1KIto2kHn-8,U mê đoạn rap này của B Ray #RapViệt #shorts,"['Hip_hop_music', 'Music']",17.0,2023-05-31T05:30:00Z,3076534,51075,548,02/20/2024
UC2fu6CiFfNYz5UFORvFyc0w,Vie Channel - MUSIC,sFKlrHWLPuk,Queen Of Rap - Suboi mãi đỉnh #RapViệt #shorts,"['Music', 'Music_of_Asia']",16.0,2023-06-03T05:30:11Z,827291,17063,186,02/20/2024
UC2fu6CiFfNYz5UFORvFyc0w,Vie Channel - MUSIC,jmBTRotQVKE,Vừa rap vừa hát Rhyder cân tất #RapViệt #shorts,"['Hip_hop_music', 'Music']",15.0,2023-06-04T05:30:18Z,206934,5459,149,02/20/2024
UC2fu6CiFfNYz5UFORvFyc0w,Vie Channel - MUSIC,fxLBpLxY9Ow,Ú òa trước khả năng live của Thùy Chi #shorts,"['Music', 'Music_of_Asia']",60.0,2022-12-27T13:30:13Z,558552,17331,177,02/20/2024
UC2fu6CiFfNYz5UFORvFyc0w,Vie Channel - MUSIC,wgJOUuE5Nsk,Ký ức ùa về với Giấc Mơ Trưa của Thùy Chi #shorts,"['Music', 'Music_of_Asia', 'Pop_music']",58.0,2022-11-05T16:55:00Z,204205,6024,82,02/20/2024
